SP-[1] Epoch: 1/1600 | Time: 0m11s (Train 0m09s  Val 0m02s) | Train: LR 0.010000000000000002  Loss 0.85  Acc 37.34% | Val: Loss nan  Acc(top1) 52.17% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m10s (Train 0m10s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.72  Acc 48.44% | Val: Loss nan  Acc(top1) 78.02% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m09s (Train 0m09s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.65  Acc 62.91% | Val: Loss nan  Acc(top1) 77.54% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m10s (Train 0m10s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.61  Acc 65.95% | Val: Loss nan  Acc(top1) 79.71% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m09s (Train 0m09s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.57  Acc 66.04% | Val: Loss nan  Acc(top1) 81.64% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m09s (Train 0m08s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.54  Acc 69.57% | Val: Loss nan  Acc(top1) 84.54% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m10s (Train 0m10s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.52  Acc 71.13% | Val: Loss nan  Acc(top1) 88.65% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m09s (Train 0m09s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.48  Acc 70.31% | Val: Loss nan  Acc(top1) 85.99% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m10s (Train 0m10s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.44  Acc 73.36% | Val: Loss nan  Acc(top1) 89.37% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m09s (Train 0m09s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.42  Acc 76.32% | Val: Loss nan  Acc(top1) 89.13% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m10s (Train 0m10s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 69.49% | Val: Loss nan  Acc(top1) 51.21% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m09s (Train 0m09s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 68.50% | Val: Loss nan  Acc(top1) 86.71% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m09s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 71.13% | Val: Loss nan  Acc(top1) 76.81% | HA 0.00@0

SP-[1] Epoch: 14/1600 | Time: 0m10s (Train 0m10s  Val 0m00s) | Train: LR 0.1  Loss 0.46  Acc 68.59% | Val: Loss nan  Acc(top1) 78.26% | HA 0.00@0

SP-[1] Epoch: 15/1600 | Time: 0m09s (Train 0m09s  Val 0m00s) | Train: LR 0.1  Loss 0.43  Acc 71.55% | Val: Loss nan  Acc(top1) 72.95% | HA 0.00@0

SP-[1] Epoch: 16/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.42  Acc 70.81% | Val: Loss nan  Acc(top1) 84.06% | HA 0.00@0

SP-[1] Epoch: 17/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.39  Acc 73.93% | Val: Loss nan  Acc(top1) 86.47% | HA 0.00@0

SP-[1] Epoch: 18/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.41  Acc 73.44% | Val: Loss nan  Acc(top1) 89.86% | HA 0.00@0

SP-[1] Epoch: 19/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.41  Acc 73.52% | Val: Loss nan  Acc(top1) 85.51% | HA 0.00@0

SP-[1] Epoch: 20/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.38  Acc 74.42% | Val: Loss nan  Acc(top1) 88.89% | HA 0.00@0

SP-[1] Epoch: 21/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.37  Acc 76.07% | Val: Loss nan  Acc(top1) 86.23% | HA 0.00@0

SP-[1] Epoch: 22/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.39  Acc 73.27% | Val: Loss nan  Acc(top1) 85.75% | HA 0.00@0

SP-[1] Epoch: 23/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.37  Acc 75.33% | Val: Loss nan  Acc(top1) 78.74% | HA 0.00@0

SP-[1] Epoch: 24/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 76.64% | Val: Loss nan  Acc(top1) 83.57% | HA 0.00@0

SP-[1] Epoch: 25/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.38  Acc 74.42% | Val: Loss nan  Acc(top1) 81.16% | HA 0.00@0

SP-[1] Epoch: 26/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.39  Acc 75.00% | Val: Loss nan  Acc(top1) 86.23% | HA 0.00@0

SP-[1] Epoch: 27/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.38  Acc 76.07% | Val: Loss nan  Acc(top1) 85.02% | HA 0.00@0

SP-[1] Epoch: 28/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 78.70% | Val: Loss nan  Acc(top1) 82.85% | HA 0.00@0

SP-[1] Epoch: 29/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.36  Acc 75.25% | Val: Loss nan  Acc(top1) 87.92% | HA 0.00@0

SP-[1] Epoch: 30/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.34  Acc 78.70% | Val: Loss nan  Acc(top1) 90.10% | HA 0.00@0

SP-[1] Epoch: 31/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 77.55% | Val: Loss nan  Acc(top1) 93.24% | HA 0.00@0

SP-[1] Epoch: 32/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.36  Acc 76.07% | Val: Loss nan  Acc(top1) 88.65% | HA 0.00@0

SP-[1] Epoch: 33/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 75.25% | Val: Loss nan  Acc(top1) 87.44% | HA 0.00@0

SP-[1] Epoch: 34/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.34  Acc 77.30% | Val: Loss nan  Acc(top1) 74.40% | HA 0.00@0

SP-[1] Epoch: 35/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.37  Acc 75.00% | Val: Loss nan  Acc(top1) 85.75% | HA 0.00@0

SP-[1] Epoch: 36/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.34  Acc 78.12% | Val: Loss nan  Acc(top1) 87.92% | HA 0.00@0

SP-[1] Epoch: 37/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.34  Acc 76.97% | Val: Loss nan  Acc(top1) 86.96% | HA 0.00@0

SP-[1] Epoch: 38/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.37  Acc 73.85% | Val: Loss nan  Acc(top1) 82.37% | HA 0.00@0

SP-[1] Epoch: 39/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 76.07% | Val: Loss nan  Acc(top1) 90.34% | HA 0.00@0

SP-[1] Epoch: 40/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.33  Acc 79.44% | Val: Loss nan  Acc(top1) 83.57% | HA 0.00@0

SP-[1] Epoch: 41/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.34  Acc 76.48% | Val: Loss nan  Acc(top1) 90.34% | HA 0.00@0

SP-[1] Epoch: 42/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.33  Acc 76.97% | Val: Loss nan  Acc(top1) 87.92% | HA 0.00@0

SP-[1] Epoch: 43/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 77.63% | Val: Loss nan  Acc(top1) 90.10% | HA 0.00@0

SP-[1] Epoch: 44/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 77.96% | Val: Loss nan  Acc(top1) 89.37% | HA 0.00@0

SP-[1] Epoch: 45/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 75.90% | Val: Loss nan  Acc(top1) 86.47% | HA 0.00@0

SP-[1] Epoch: 46/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.35  Acc 77.47% | Val: Loss nan  Acc(top1) 76.81% | HA 0.00@0

SP-[1] Epoch: 47/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.34  Acc 78.37% | Val: Loss nan  Acc(top1) 88.41% | HA 0.00@0

SP-[1] Epoch: 48/1600 | Time: 0m08s (Train 0m08s  Val 0m00s) | Train: LR 0.1  Loss 0.33  Acc 78.70% | Val: Loss nan  Acc(top1) 84.30% | HA 0.00@0

SP-[1] Epoch: 49/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.33  Acc 79.19% | Val: Loss nan  Acc(top1) 87.44% | HA 0.00@0

SP-[1] Epoch: 50/1600 | Time: 0m08s (Train 0m07s  Val 0m00s) | Train: LR 0.1  Loss 0.32  Acc 78.54% | Val: Loss nan  Acc(top1) 91.79% | HA 0.00@0

