save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:93.04029083251953, trainAcc:88.58173076923077, record@3-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:88.27838897705078, trainAcc:87.01923076923077, record@3-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:88.27838897705078, trainAcc:86.65865384615384, record@4-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.84249114990234, trainAcc:87.13942307692307, record@5-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:92.30769348144531, trainAcc:87.5, record@9-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.0576923076923, record@90-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:86.29807692307693, record@92-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.53846153846155, record@97-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.65865384615384, record@101-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:88.27838897705078, trainAcc:86.0576923076923, record@112-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:91.57508850097656, trainAcc:86.65865384615384, record@122-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.01923076923077, record@127-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.84249114990234, trainAcc:86.77884615384616, record@129-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.89903846153845, record@131-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:86.0576923076923, record@132-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:86.53846153846155, record@134-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:86.65865384615384, record@135-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:88.64469146728516, trainAcc:87.3798076923077, record@137-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.17788461538461, record@141-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.89903846153845, record@146-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:87.3798076923077, record@148-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.3798076923077, record@154-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.86057692307693, record@156-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.01923076923077, record@158-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:88.46153846153845, record@161-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.89903846153845, record@163-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.17788461538461, record@164-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.0576923076923, record@168-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.6201923076923, record@169-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:88.22115384615384, record@170-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.01923076923077, record@172-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.01923076923077, record@173-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.53846153846155, record@175-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:91.20879364013672, trainAcc:87.01923076923077, record@176-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.25961538461539, record@177-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:88.10096153846155, record@179-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.53846153846155, record@180-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.6201923076923, record@181-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:88.22115384615384, record@182-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:88.22115384615384, record@183-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.86057692307693, record@184-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.3798076923077, record@186-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.89903846153845, record@187-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.89903846153845, record@188-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.6201923076923, record@189-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.77884615384616, record@192-epoch
