save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:87.43961334228516, trainAcc:53.536184210526315, record@1-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:78.98550415039062, trainAcc:64.14473684210526, record@3-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:75.84540557861328, trainAcc:62.74671052631579, record@4-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:67.63285064697266, trainAcc:64.14473684210526, record@5-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:67.87439727783203, trainAcc:69.24342105263158, record@6-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:64.25120544433594, trainAcc:65.29605263157895, record@7-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:62.07729721069336, trainAcc:69.73684210526315, record@8-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:58.21255874633789, trainAcc:68.58552631578947, record@9-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:51.207725524902344, trainAcc:72.28618421052632, record@10-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.758453369140625, trainAcc:78.28947368421053, record@11-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.04276315789474, record@12-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.70065789473685, record@13-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.35855263157895, record@14-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:81.57894736842105, record@15-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.09868421052632, record@16-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.08552631578947, record@17-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.60526315789474, record@18-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.49671052631578, record@19-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.52302631578947, record@20-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.92105263157895, record@21-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.37171052631578, record@22-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:79.93421052631578, record@23-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:78.94736842105263, record@24-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:82.07236842105263, record@25-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:81.25, record@26-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:80.3453947368421, record@27-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.25, record@28-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:82.48355263157895, record@29-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.35855263157895, record@30-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.00328947368422, record@31-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:82.31907894736842, record@32-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.49671052631578, record@33-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:82.31907894736842, record@34-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.61842105263158, record@35-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.758453369140625, trainAcc:80.83881578947368, record@36-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.5921052631579, record@37-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.6875, record@38-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.25, record@39-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.83881578947368, record@40-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:80.18092105263158, record@41-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:79.93421052631578, record@42-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:80.83881578947368, record@43-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:81.08552631578947, record@44-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.35855263157895, record@45-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:81.33223684210526, record@46-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.27536392211914, trainAcc:79.11184210526315, record@47-epoch
